"date","Participant","EFF1","EFF2","EFF3","EFF4","PERS1","PERS2","PERS3","PERS4","DEP1","DEP2","DEP3","DEP4","STIM1","STIM2","STIM3","STIM4","NOV1","NOV2","NOV3","NOV4","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6"
"Mon Jan  9 11:57:13 2023","5a6ad4e4-baf6-40b3-8c89-d2297b1261ac",3,-3,2,-3,-2,-2,-2,2,-2,-3,0,2,3,-3,-2,3,2,3,-3,-2,-2,2,-3,-3,2,2
"Mon Jan  9 15:08:47 2023","50955f21-6f49-4e64-9e2f-187724f8832b",-3,0,0,0,2,2,3,0,2,1,1,1,3,-1,-2,0,1,2,-2,-2,-2,1,-2,0,0,1
"Mon Jan  9 16:20:47 2023","adba798c-0c02-472a-86e3-4f11c0d7def7",2,-3,-1,-1,-1,2,0,2,-1,-3,2,3,3,-3,-3,2,1,1,-2,-1,-1,2,-2,-2,1,1
"Mon Jan 16 09:25:37 2023","b420e046-87ad-405e-bee4-52a882e1476f",-1,1,1,-2,-1,1,1,-1,1,-1,-2,0,0,-2,-2,1,-1,2,-3,-2,-1,1,0,1,0,-1
"Mon Jan 16 10:16:42 2023","f28df1e7-6403-4899-8fd2-6896b9ef9bde",-3,3,3,-3,3,-3,3,-3,3,2,-2,-3,0,2,2,1,-2,2,-3,1,3,-3,3,2,-2,-3
"Mon Jan 16 10:19:51 2023","545af629-abd0-4797-99aa-52474506a44f",-2,-1,-2,3,-3,-1,-2,-2,3,-2,1,1,2,-3,-2,-3,2,2,2,3,-3,-3,3,2,-3,-1
"Mon Jan 16 10:25:51 2023","1f9d6653-e294-4809-a8c4-69175a7bcd3a",0,0,1,-3,-1,1,1,1,-2,-2,0,1,1,1,1,1,2,2,-1,-1,0,-1,0,1,1,-1
"Mon Jan 16 10:56:04 2023","5661eae7-f0a5-45cd-a6d3-d9b1964f059b",-3,3,3,-3,3,-3,3,-3,1,2,-3,-3,0,2,2,-3,0,2,2,2,2,-3,2,3,-2,-3
